mission_no,agv_id,mission_type,container_id,related_target_id,src_pos,dst_pos,start_time,end_time,start_s,end_s,makespan,sku_qty,picking_duration(s)
130,1,reshuffle,345,344,(5;2;3),(2;1;6),1705365132,1705365243,1932,2043,2043.0,13,0.0
131,2,target,344,344,(5;2;2),work station (Port 1),1705365153,1705365296,1953,2096,2096.0,13,26.0
132,0,return,344,344,work station (Port 1),(2;1;7),1705365302,1705365417,2102,2217,2217.0,13,0.0
133,9,reshuffle,200,195,(3;0;5),(2;5;5),1705364976,1705365091,1776,1891,1891.0,25,0.0
134,5,reshuffle,199,195,(3;0;4),(2;5;6),1705365026,1705365141,1826,1941,1941.0,25,0.0
135,7,reshuffle,198,195,(3;0;3),(2;5;7),1705365056,1705365171,1856,1971,1971.0,25,0.0
136,9,reshuffle,197,195,(3;0;2),(2;7;3),1705365091,1705365221,1891,2021,2021.0,25,0.0
137,6,reshuffle,196,195,(3;0;1),(2;7;4),1705365126,1705365251,1926,2051,2051.0,25,0.0
138,5,target,195,195,(3;0;0),work station (Port 2),1705365141,1705365266,1941,2066,2066.0,25,50.0
139,1,return,195,195,work station (Port 2),(3;0;0),1705365301,1705365411,2101,2211,2211.0,25,0.0
140,7,reshuffle,390,387,(5;8;7),(2;7;5),1705365171,1705365281,1971,2081,2081.0,1,0.0
141,8,reshuffle,389,387,(5;8;6),(2;7;6),1705365123,1705365311,1923,2111,2111.0,1,0.0
142,3,reshuffle,388,387,(5;8;5),(2;7;7),1705365183,1705365341,1983,2141,2141.0,1,0.0
143,4,target,387,387,(5;8;4),work station (Port 1),1705365213,1705365426,2013,2226,2226.0,1,2.0
144,1,return,387,387,work station (Port 1),(3;0;1),1705365413,1705365523,2213,2323,2323.0,1,0.0
145,9,reshuffle,194,190,(2;10;5),(2;9;2),1705365221,1705365301,2021,2101,2101.0,2,0.0
146,6,reshuffle,193,190,(2;10;4),(2;9;3),1705365251,1705365331,2051,2131,2131.0,2,0.0
147,7,reshuffle,192,190,(2;10;3),(2;9;4),1705365281,1705365361,2081,2161,2161.0,2,0.0
148,8,reshuffle,191,190,(2;10;2),(2;9;5),1705365311,1705365391,2111,2191,2191.0,2,0.0
149,3,target,190,190,(2;10;1),work station (Port 1),1705365341,1705365486,2141,2286,2286.0,2,4.0
150,0,return,190,190,work station (Port 1),(3;0;2),1705365475,1705365585,2275,2385,2385.0,2,0.0
151,2,reshuffle,267,88,(1;4;7),(2;9;6),1705365296,1705365421,2096,2221,2221.0,5,0.0
152,5,reshuffle,94,88,(1;4;6),(2;9;7),1705365266,1705365451,2066,2251,2251.0,5,0.0
153,6,reshuffle,93,88,(1;4;5),(2;10;1),1705365331,1705365486,2131,2286,2286.0,5,0.0
154,7,reshuffle,92,88,(1;4;4),(2;10;2),1705365361,1705365516,2161,2316,2316.0,5,0.0
155,2,reshuffle,91,88,(1;4;3),(2;10;3),1705365421,1705365546,2221,2346,2346.0,5,0.0
156,4,reshuffle,90,88,(1;4;2),(2;10;4),1705365426,1705365576,2226,2376,2376.0,5,0.0
157,5,reshuffle,89,88,(1;4;1),(2;10;5),1705365451,1705365606,2251,2406,2406.0,5,0.0
158,3,target,88,88,(1;4;0),work station (Port 1),1705365486,1705365636,2286,2436,2436.0,5,10.0
